===Table.A===
A.id,post_title,post_body,publication_time,comment_count
A-0,Stardrops taste like your favorite thing! What do they taste like to you?,,20 hr. ago,
A-1,Girlfriend discovered Stardew. How long until i get her back?,,19 days ago,
A-2,Holy massive melons (cat for scale),,50 min. ago,22
A-3,Fresh start optimized for mushroom logs instead of crops,,4 min. ago,1
A-4,4 Maple trees = A goblet,,5 days ago,205
A-5,can someone tell me what the door in haleys room lead to??,,6 hr. ago,
A-6,This made me happy,,1 hr. ago,5
A-7,Got my mom into Stardew in 2020. She just hit year 200,Achievement Get!,16 days ago,
A-8,This Pains me,,11 hr. ago,59
A-9,Haley shines in the sunlight~,,4 days ago,
A-10,Stardew Valley/Pelican Town faces a zombie apocalypse ala Resident Evil~ What are the fates of each citizen? Who is surviving?,,15 hr. ago,345
A-11,Do games like Stardew help your mental health? (Grad survey),https://www.surveymonkey.com/r/6RVBTLS,13 min. ago,0
A-12,"Hi, long time no see! Here's Robin.",,21 days ago,
A-13,Year 5 and still dealing with this racoon!!,,14 hr. ago,56
A-14,Name a Stardew character who suffered more than Maru's design and fail miserably.,,7 days ago,655
A-15,Happy Egg Hunting,,7 hr. ago,3
A-16,Drew sandy a while back and was told to put it here too!,,3 hr. ago,
A-17,Why do i keep getting sap and not resin?,,7 days ago,238
A-18,Apparently…,Apparently I was in Willy’s way when he wanted to go to his fishing spot 😭,15 hr. ago,58
A-19,I met CA as Penny at the Honolulu concert!,,15 days ago,124

===Table.B===
A.ref,comment_text,comment_time,commenter
A-0,Its always fish i dont have,2h ago,Sweaty_Screen7245
A-0,Mine required two rhubarb pies. Took forever to get them in the traveling cart.,10h ago,Wild_Cockroach_2544
A-0,"Were you so relieved to have finally found a rhubarb pie, only to be asked for another rhubarb pie?",7h ago,lavenderewe
A-0,Don't even get me started with the traveling cart merchant! She never has anything i need.,2h ago,Sweaty_Screen7245
A-0,"(Lh) Friend,,, that is a bear",10h ago,Fireant23
A-0,It has a tail though. He just a fluffy racoon,10h ago,Sweaty_Screen7245
A-0,I was always under the impression he is a tanuki!,9h ago,DangIt_MoonMoon
A-0,He's the Trash Bear. https://stardewvalleywiki.com/Cindersap_Forest#Trash_Bear,10h ago,JediLincoln14
A-0,There are other raccoons in the game,9h ago,Subject_Werewolf6685
A-0,I would have said its a fat cat.,8h ago,Zhammyx
A-0,I wish he stuck around longer,11h ago,OriginalNord
A-0,I get sad when he leaves. I want him to stay there and I’ll bring him gifts when I visit krobus,8h ago,PrismaticStardrop
A-0,I’ll give him everything he wants and more,2h ago,OriginalNord
A-0,"It would be great if the trash bear was a recurring event - like maybe once a year. After all, more trash washes up on shores all the time. They could even make him spawn on ginger island.",6h ago,Frickelmeister
A-0,"See I didn't even know he was like a thing and stumbled upon him my first playthrough, luckily I am a hoarder and was able to run back and forth to my house kitchen chest and just give him all the meals i made for the chef achievement 😂",10h ago,throwawayallthedrama
A-0,"That's the Trash Bear. He looks like a fat tanuki, but is actually called ""Trash bear"" in the game files.",8h ago,MouseRangers
A-0,N/A,8h ago,PrismaticStardrop
A-0,"I tend to just hoard ingredients until I get trash bear, then cook everything I can at that point instead of cooking beforehand. Then again, one year I got escargot then a snail",6h ago,KatieAmber01
A-0,I don’t blame you. His tastes are so demanding.,6h ago,KimnWithanN
A-0,"Can someone pls explain to me what feeding him does? I found him for the first time yesterday (it’s my first time playing the game), fed him once and it did nothing. If I keep feeding him will something happen?
(This post was great timing for me lol)",2h ago,mostlyjade
A-0,Yeah it took me a long time to complete the trash bear since he asked for fiddlehead risotto and I had to watch The Queen of Sauce tons of times before the recipe came on,59m ago,Spot__Pilgrim
A-0,free my girl maru from the silk press i beg ....,7d ago,lemondemoning
A-0,That’s her heat damage progression photos 😭 look at that breakage,6d ago,Real_Ad7928
A-0,Those ends are FRIED... mine are too 😔,6d ago,PinkProvalone
A-0,"Holy shit. Now that you mention it, I can see it",6d ago,DandyWarlocks
A-0,"Get her a silk bonnet stat I’ll raise silk moths on my farm, I’m sure I can grow a mulberry tree",6d ago,kichisowseri
A-0,Right. Let my girl rock the curls we *know* she has. Turn the hot comb loose!,7d ago,No-Investigator-2756
A-0,"plot twist: it’s not even a silk press, her hair is just permanently flat-ironed from getting electrocuted by her lab gadgets every morning",6d ago,Born-Yesterday1091
A-0,I always thought her hair was in braids like this.,7d ago,Adamsoski
A-0,I like that for her. Seems like it might be lower maintenance than the other hairstyles (?) which would suit her. But anyone can correct me if I’m wrong!,7d ago,Agreeable-Dog-1131
A-0,microbraids maru would slayyyyy,6d ago,cannibal-ascending
A-0,I love the curls so much,7d ago,spicygummi
A-0,RETURN HER CURLS,7d ago,TadaSuko
A-0,The first one is Roxxane from goof troop,7d ago,CanisZero
A-0,*[A Goofy Movie] but yes you’re spot on,7d ago,shintakarajima
A-0,It's the leaning tower of cheese-a.,7d ago,Fabulous-Sea-1590
A-0,1 and 3 competing with Elliot in hair category,7d ago,Idk_345am
A-0,"There you go, buddy",7d ago,mawkee
A-0,"Whoah this is it. I always feels there is something not quite right about maru design, turns out it’s the straight hair",6d ago,silently_watch
A-0,"😨🤣 This was *literally* my awkward phase as a nerdy mixed girl.
(I appreciate all of you who marry her though lol)",6d ago,BitchfulThinking
A-0,Omg she looks so prettyyyyy,7d ago,Maximumfabulosity
A-0,2 with round glasses would’ve been SOOO cute😭,7d ago,veggiebuttt
A-0,You're missing the most fun changes,6d ago,IonicGold
A-0,Original looks like something from a Meat Canyon video.,6d ago,skeletalfury
A-0,The main villain of stardew valley isn't Pierre or Joja. It's the hair iron,7d ago,lesbianminecrafter
A-0,This is epic🤣 poor Abigail 🤣,7h ago,Existing-Glove5073
A-0,Kids like you SHOULD BE IN SECOND PLACE!,6h ago,Emerald_Digger
A-0,"The only thing they (the eggs and children) fear, is *you*.",6h ago,Nilfgaardian-Lemon
A-0,i love oddly specific meme images,7d ago,Ill-Front-9552
A-0,i like to think you waited at least a few years to whip this out. i am crying lmao,7d ago,gh0stmilk_
A-0,"Ngl, I saw this on Tumblr YEARS ago and I've finally gotten a chance to use it lmao",7d ago,nghtmrafterxmas
A-0,"break it down, are you kidding me?!? this is hand-carved mahogany!",7d ago,ForgetfulDoryFish
A-0,"""Give us oak resin and we'll burn your house to the ground""
""Uh, don't you mean 'or'?""
""Give us oak resin OOOOOR we'll burn your house to the ground""",7d ago,danirijeka
A-0,"You got me laughing at a mahogany joke in 2026, well done",7d ago,TadaSuko
A-0,"You've put the tapper on a Hardwood tree, which doesn't give Resin. if you put the tapper on another tree- oak, pine, or maple- it'll produce results.
If you're after RESIN specifically, you'll need to tap an Oak tree. I've added a photo of what they look like 😌",7d ago,charlyeeee
A-0,remember hole at the top,7d ago,moocat90
A-0,That's how I remembered it too.,7d ago,meaniesg
A-0,That sounds sus without context lol,7d ago,sianna777
A-0,Thank you so much 😭 now it all makes sense,7d ago,yll_xt
A-0,"Well, shit, I had no idea you *could* tap hardwood trees. Do they always give that much sap? I'm always low on sap!",7d ago,snowman334
A-0,Different trees produce different things. The hardwood mahogany tree produces sap every day when tapped. Pine trees produce pine tar every 5 days. Oak trees produce oak resin every 7 days. Maple trees produce maple syrup every 9 days.,7d ago,Brutask_user
A-0,I got so confused cause i keep getting sap for like 4 days straight and i was used with just waiting for days and then getting resin. It's my first time seeing sap in tapper for this tree. Thank you very much,7d ago,yll_xt
A-0,"In the fall or after the green rain event, certain trees can turn into wild trees, which produce sap in tappers. It will turn back into a regular tree after the fall is over.",7d ago,arcanaasparagus
A-0,Here ya go!!,7d ago,WarningWonderful5264
A-0,Can…can I tap Elliot?…asking for a friend…,7d ago,Flamingowaffle
A-0,"While we on subject. This might be a stupid question and english is not my first language.
Why is oak resin named resin yet Pine produces...Tar. like. Arent they both resins?",7d ago,theta0123
A-0,"Pine tar is a product processed from pine resin apparently, i think it's just the game's way of giving us a variety of resources",7d ago,battleaxe_l
A-0,"Similarly, you don't get syrup directly from a maple tree, you make it from maple sap.",7d ago,NekoArtemis
A-0,"I think it’s to keep the item names more obviously different. Maple trees give syrup, oak give resin, pine give tar, and mahogany give sap.
It’s worth noting too that pine tar is a thing, but it’s not produced by tapping the tree, at least in our world",7d ago,SigmaBunny
A-0,"That’s a Hardwood tree, they produce sap",7d ago,alexjf56
A-0,"Wait hold on now, you can get sap this way????",7d ago,SolKaynn
A-0,Same energy,14h ago,BrokenHope23
A-0,Omg stop 😂😂😂😂,14h ago,Ordinary_giraffe90
A-0,One day we'll get Willy as a romanceable NPC and then we'll all be like:,14h ago,BrokenHope23
A-0,Lmao 😂,14h ago,b0b1991
A-0,"Immaculate rizz from Willy
(now let me romance him)",10h ago,Correct_Document_607
A-0,"Every time Willy does that, I catch feelings.",15h ago,SnarkySeahorse1103
A-0,Right? 😂,15h ago,Ordinary_giraffe90
A-0,"*""..Willy? Woah....wait...w-w-what are we?""*",14h ago,SnarkySeahorse1103
A-0,"And that, kids, is how I met your father",14h ago,Impressive-Skirt7204
A-0,😂😂 one of my favorite shows!,14h ago,Ordinary_giraffe90
A-0,Willy can handle his rod behind me anytime.,14h ago,Blueskys643
A-0,Bah dum dum *tssss*,14h ago,Ordinary_giraffe90
A-0,I know you stood there on purpose,14h ago,Paizuti
A-0,Shhhhh 😳,13h ago,Ordinary_giraffe90
A-0,He's just showing you how to properly handle a rod.,14h ago,Cavalry7734
A-0,"So, yeah...",12h ago,BarristanTheB0ld
A-0,I feel like most of us have experienced this at least once 😂,14h ago,Olyah_M02
A-0,It's a good fishing spot ngl. It has good vibes.,13h ago,HQQ1
A-0,I saw a video on a sketchy website like this once!,13h ago,Archduke_Of_Beer
A-0,WillysWilly.com?,11h ago,Ordinary_giraffe90
A-0,You were in the way of Willy’s Willy.,14h ago,Beno169
A-0,Apparently that looks fishy,13h ago,PropertySouthern5102
A-0,How else do you think he got his name?,12h ago,ApLDapL
A-0,"omfg he did this to me yesterday, where is the “please stop” button",14h ago,white-as-styrofoam
A-0,What are you doing step-fisherman?,13h ago,Vulpes-Deputa8735
A-0,How awesome! Do you mind sharing where you got your shoes from? They're so cute!,15d ago,Inside-Athlete6631
A-0,My shoes are from Dansko in the style Fawna. They’re the chestnut version that I dyed a darker brown,15d ago,typicalunicorns
A-0,The ape isn't looking quite concerned,15d ago,SplashB95
A-0,"He should be less concerned after all the money he's made on the game.
No shade--he earned it by making something wholesome and great that has brought joy to a lot of people. He seems like a genuinely good dude.",15d ago,AllMadeofGlass
A-0,My man is a multi-millionaire while rocking his New-Balance shoes. Legend,15d ago,Adorable_Vast5676
A-0,This gave me a chuckle.,15d ago,footballisrugby
A-0,A Chucklefish?,15d ago,sexydaniboy
A-0,That concerned ape cosplay is insane,15d ago,Jeggu2
A-0,But we can still tell it wasn't him becuz he didn't look concerned,15d ago,Inside_Ad_6572
A-0,This guy also needs like 100% more sherpa,15d ago,Particular-Village91
A-0,Yeah but no jacket!,15d ago,Laeno
A-0,Yeah I can’t believe CA dressed as penny,15d ago,Interesting-Cap8792
A-0,Penny and Sebastian,15d ago,uL4G
A-0,Sebastian is a skinny pretty boy. CA looks like a hunk!,15d ago,AtriaX2k
A-0,Give it a few years then maybe Sebastian will transform I can't say if it would be an upgrade or a downgrade tho,15d ago,skiploops
A-0,Actually sebastian is inspired by CA himself on his personality and life of living in his mom's house while creating stardew valley.,15d ago,Inside_Ad_6572
A-0,It’s like meeting your daughter lol,15d ago,RavyRaptor
A-0,She's technically cosplaying his wife lol,15d ago,AsheBnarginDalmasca
A-0,Yeah I know it's been years but it must still be kinda trippy seeing strangers cosplay as characters you created in your farming sim,15d ago,BobbleBobble
A-0,Seeing him without his jacket,15d ago,TheRealSparkleMotion
A-0,This is so real. Man looks naked,15d ago,neloulai
A-0,I love seeing everyone's cosplays on here because everyone always absolutely nails it! Great job and great that you got to meet Mr. Ape himself! 🤯☺️,15d ago,RetroBratRose
A-0,First time I have ever seen him not wearing the Levi's sherpa jacket. I didn't even know he had arms,15d ago,treadlightning
A-0,,15d ago,Dust45
A-1,Unrelated but tell your gf that her braid game is stellar,19d ago,Wassersammler
A-1,"i am in shock at how much hair this girl has.
i've never seen a braid this thick EVER",19d ago,Lazy_Basket6819
A-1,you could moor a boat with that,19d ago,dminus
A-1,It looks well aerated and fluffy like a nice brioche.,19d ago,FiercelyApatheticLad
A-1,"Sometimes she asks me to braid it as a ""challenge"" because i work as a baker. But i'll tell ya, braiding dough and braiding hair is so not the same thing.",19d ago,_Mumrik
A-1,I just looked at the ciabatta you posted on your profile and that looks amazing too 😭 both of you are lucky,19d ago,Wassersammler
A-1,My first thought on the thumbnail was “is someone simultaneously playing Stardew and cosplaying Leah?”,19d ago,nihiltres
A-1,"I know this isn't relevant, but how could your girlfriend have that much of hair!!!!!!!!!! Her hair is THICK!!!!! I'M JEALOUS!!!!! (back to the topic, join her to play together!!!)",19d ago,Alexxx9319
A-1,"Yeah, its pretty great! She grows it out and donates it actually! She have donated it three times and it takes about 3-4 years for it to grow the proper length",19d ago,_Mumrik
A-1,"Awwwwww isn't she a gorgeous person! 🥰You have to tell her that someone on the other side of the world really jealous of her hair and she's too mad to handle the jealousy so it makes her just eat 1 more muffin to calm her down🤣and hope your gf takes her time with the game, have great fun in game!!!!!",19d ago,Alexxx9319
A-1,"I love that we're all in awe over her hair and poor OP is like ""but I haven't seen her in 3 weeks, will I ever get her back?"" And we're all ""omg her hair is so gorgeous!, stardew? What about it, look at her hair!""",19d ago,ZoominAlong
A-1,You can join her for multi-player fun instead 😛,19d ago,Bee_st_
A-1,Hopefully she lets me join 😅 I dont wanna intrude on her fun just yet,19d ago,_Mumrik
A-1,was looking for this,19d ago,mothspiderr
A-1,"good luck
this game is way more addictive than it looks",19d ago,bloodywormgoddess
A-1,I remember I had 75 hours of playtime after the first 5 days,19d ago,bland_soup
A-1,Look at that braid and plaid shirt. It's too late. She is Stardew now.,19d ago,papierdoll
A-1,Proabaly never,19d ago,UltraSloth9
A-1,you lost her forever unfortunately...,19d ago,Lucky_Thought2
A-1,"My dude, that woman has an industrial strength braid....
Impressive",19d ago,SeanyDay
A-1,Probs in a good few months... Until she discovers modding. Then it's never,19d ago,Deceasedpenguin7
A-1,About 500+ hours.,19d ago,Honorsheets
A-1,She is LEAH! Her hair game is incredible,19d ago,Maleficent-Stormbee
A-2,"Harvesting them with an axe will give you between 15 and 21 regular quality melons.
If you don't want to harvest one or both of them they will remain indefinitely as a decoration, until such time as you decide to harvest them.
P.S your cat looks genuinely discombobulated at the occurrence of the giant crops.",50m ago,Occidentally20
A-2,Sweet thank you,50m ago,nutty3554
A-2,"Thank you for cat tax. Was not expecting that, and I'm sick af with Covid, and it made me smile. 🥺❤️",45m ago,smileplease91
A-2,"Hope you get better soon,having that sucks. Been there done that😔",24m ago,Holiday_Regular9794
A-2,"Aww, thank you. ❤️ Day 3, and I feel like death, but at least my fever has broken!",23m ago,smileplease91
A-2,I’m happy I could do a service,44m ago,nutty3554
A-2,At first I didn’t think the melons were that big but the cat for scale really helped,39m ago,freckle_thief
A-2,He does a good job as a measure of scale,36m ago,nutty3554
A-2,I didn't see that there was a second picture at first and was looking around for a pixel kitty somewhere on the farm lol,41m ago,Ace-Redditor
A-2,They got all of us😂,23m ago,Holiday_Regular9794
A-2,"How does that happen?? New farmer here, who just got to summer 12",19m ago,Subject-Ad674
A-2,Honestly I don’t know I just woke up to them like this,1m ago,nutty3554
A-2,Cat for scale 😂😂,36m ago,Sea_Reporter8348
A-2,size… rougly one cat head with a few hundred pixels in size… lol,30m ago,LindenTom250
A-2,I leave mine. I have a whole Collection of giant fruits :-},50m ago,IaMm1N3
A-2,The cat for scale😂😂😂😂😂😂😂😂,24m ago,Holiday_Regular9794
A-2,I was looking intently for that cat before I saw there were two pictures.,26m ago,NoAcanthocephala7034
A-2,"I read it as ""cat for sale""",33m ago,Blueberry_Shayoka
A-2,Leave them. Giant crops don't rot. Let your melons just sit there as a permanent reminder that you have achieved peak farming. Flex on the whole valley.,39m ago,Aestryx47
A-2,I love your big two Melons 😍,26m ago,veloziri
A-2,Cat also seems to be in shock over the voluptuous harvest!,4m ago,NeonPandaPoof
A-2,Took me way too long to realize there was a second pic… I was looking for your farm cat for wayyyy too long,5m ago,FalseEstimate
A-2,Why does your shirt make you look like a bare chested man with nips 🤣,29m ago,UndeadBuggalo
A-3,"**Overall plan looks like so:**
* upgrade axe to copper ASAP, even before pickaxe
* use the chair to go into secret woods every day (and/or use hardwood stumps on Forest and 4-corners farm)
* gather hardwood and plant mahogany seeds on your farm with a bit extra spread to them with clear ground around them
* let the mahogany grow and start dropping additional mahogany seeds
You want 300+ hardwood going into summer and 10-20 mahogany trees growing. Level 5 forester instead of gatherer can be better here as well.
For wild tree seeds:
* upgrade axe to steel
  + cut down every tree in the forest, mountains
  + cut down non-pine trees on your farm
* collect pine cones dropped by pine tree on your farm
* early summer start full-clearing your farm and start planting a grid of wild trees (you want a lot of pines for mushroom logs)
* cut down any regrown trees before green rain, after green rain and later on as needed.
**Tree fertilizer** can be handy on mahogany trees, but when used on any tree it makes them grow moss quicker as well, so bonus points for using tree fertilizer on every pine tree you plant.
**Green rain** will hit somewhere in summer and your goal is to purely go for moss - farm every weed and moss in the forest and open areas of your farm and other zones. You should get bit over 300 moss or 400 if you are on beach farm and it's mostly cleared before rain.
300 moss then gives you 30 logs which can produce around 1050 mushrooms per season. After green rain moss harvesting will be slow, but the more trees you will have the more moss you will be able to farm regularly so a mushroom log farm is a positive loop setup ;)
**Dehydrators** tip - get the crystalarium from the 25k bundle and put a fire quartz in it, it will duplicate one every 24h allowing you to quickly ramp dehydrators.
**Green raid mossy seeds** - green rain will give you few seeds. You can plant them on your farm in-between your pine trees and make them grow moss even faster. Just replant the seed if you get the green-ish fern tree when planted.
**Fun names**: Trufflestein, Shroomster, Toadstool...",5m ago,riklaunim
A-4,huh. i don’t know what to do with this knowledge.,5d ago,After_Cell_5570
A-4,Plant 4 maple trees,5d ago,con098
A-4,"I plant four trees in the morning, I plant four trees at night.
I plant four trees in the afternoon, it makes me feel alright.
I plant four trees in time of peace, and four in time of war.
I plant four trees before I plant four trees, and then I plant four more.",5d ago,13143
A-4,Maple or orange trees?,5d ago,PheonixWolf88
A-4,"I HATE YOU I HATE YOU I HATE YOU
(can't believe I fell for it)",5d ago,Deep_Try_5786
A-4,I was excited :( it would actually be a cool Easter egg if all the trees had a different something they formed.,5d ago,MrTheDoctors
A-4,"How does it look if you put down one crystal flooring tile to fill in just the colour of the goblet?
Edit : I tried it but mine ended up looking like Sherlock Holmes. If anyone knows what I did wrong I'd like to hear it.",5d ago • Edited 5d ago,Occidentally20
A-4,"I spent too much time trying to figure out if you made the same farmer just to take a screen shot before I remembered the date. In my defense, I really should be asleep.",5d ago,CWMJet
A-4,"The date is a coincidence, this is how I normally amuse myself on here :)",5d ago,Occidentally20
A-4,I got sherlock too,5d ago,Pleasant-Oil-3298
A-4,Elementary.,5d ago,Occidentally20
A-4,"You probably forgot to hold the magnifying glass from the winter mystery quest while placing it down. elementary mistake, my dear farmer.",5d ago,Single_Habit4856
A-4,Did you check your calendar today? it’s spring 1st irl. the shadow people are just messing with your farm layout.,5d ago,Dear_Letterhead_1623
A-4,"Oh!
I told myself this morning not to believe what I see on socials today, and that immediately went out the window. Well played!
edit: 2 words for clarification",5d ago • Edited 5d ago,sunsunpup
A-4,"…you might want to edit another word for clarification.
*We’ll, we’ll, we’ll…*",5d ago,mrsyanke
A-4,Mine came out looking like the shape of ConcernedApe's mascot's head! I think my trees might be sick or something.,5d ago,mynamesdaisy
A-4,Well how else am I supposed to drink my syrup? 🇨🇦,5d ago,CharlotteLucasOP
A-4,"My friend and I, both Canadian, have been playing coop (it's her first playthrough, and my first playthrough since the 1.6 update).
Only in the context of Stardew, would one Canadian ask another Canadian ""Do we have any maple syrup?"" and receive an answer of ""No, we don't""
We have brought shame to our nationality :(",5d ago,CursedBlackCat
A-4,Goblet.,5d ago,RostyMcRosty
A-4,Goblet.,5d ago,Louspec
A-4,Holy fuck,5d ago,Global_Algae_538
A-4,my maple tree outline could kick your maple tree outline’s butt.,5d ago,spudyoulike
A-4,*Dan Brown would like to know your location*,5d ago,Gaydream_believer
A-4,You have found the holy grail!,5d ago,EveningMountainMist
A-4,"Sis, what if this is the secret visual thing CA said people still didn’t discover?
You got me good for a few too many beats.",5d ago,starlight_chaser
A-5,"Im impressed that you only have copper tools, but 975 pizzas. Priorities",4h ago,Kajseren
A-5,im too busy tending the farm to upgrade them tools lol also i havent unleckoed the mines yet,3h ago,N_ikola_f
A-5,"What do you mean you haven't unlocked the mines? They become available Spring 5, Year 1.",2h ago,canineatheart
A-5,How!?,2h ago,The_Hylian_Queen
A-5,Upgrading them tools will make you spend less time tending the farm,1h ago,TellTaleReaper
A-5,I’m obsessed with the fabric in the background of your picture!,5h ago,AdultDisneyWoman
A-5,aww ty i bought the sheets in a local polish store,5h ago,N_ikola_f
A-5,975 pizzas is crazy work,3h ago,Miningayyy
A-5,im a hungry gal alr,2h ago,N_ikola_f
A-5,"Can confirm, leads to Haley's Backroom
Source: Marry Haley every playthrough",4h ago,Pure1nsanity
A-5,It's the smoochey smoochey room,6h ago,sock-bucket
A-5,"**Farmer**: [*Leans in and kisses Haley*]  
**Krobus**: ""Oh my, Farmer. I had no idea""  
**Haley**: ""Wait, what? Who is that?!""",2h ago,beavernator
A-5,it's for her 10-heart event after you date her. it's her dark room for photo developing       where she wants you to kiss her,6h ago,kmasco92
A-5,That makes sense why only someone she would trust would be allowed in there,5h ago,EmberReads
A-5,Her dark room. She's a photographer.,5h ago,Evil_Black_Swan
A-5,"It's only used for a cutscene, specifically her 8 heart event if I remember correctly",6h ago,nvclaas
A-5,10,6h ago,stuupidsteve
A-5,"Sorry, it's been a while",4h ago,nvclaas
A-5,the best day of your life,6h ago,Necessary-Gur7321
A-5,Her red room,6h ago,Montgreg
A-5,REDRUM?,6h ago,PsychologicalFault
A-5,Black leather and so much rope.,6h ago,ClankerCore
A-5,"Camera room, shes into photography",3h ago,Suitable-Cup-5228
A-5,The only bathroom in the whole valley,3h ago,1saylor1
A-6,Awww cuties!,1h ago,anxious_meatball
A-6,"Is it just me, or do pixelated pets have way more personality than real ones?",1h ago,PurrNibble
A-6,Do you have pets? Or have u met pets? 😅,39m ago,Pixie_the_Fairy
A-6,They're having nap time with the plushie! 🥺❤,18m ago,slothesaurus
A-6,How can I get that dog plushie in game?,9m ago,block0055
A-7,did you tell her mastery is a thing now?,16d ago,SurroundTemporary389
A-7,Nah. I let her live her life. She hates fishing.,16d ago,squeakysqueakysqueak
A-7,How much money does she have?!?!,16d ago,Mehmeh111111
A-7,"Honestly, at Year 200, if she walks into that secret cave, Grandpa’s ghost is gonna be the one asking her for a farm evaluation.",16d ago,Clean_Woodpecker3139
A-7,Oh that’s OUR mom now,16d ago,Catstatsnhats
A-7,She would love to be motherly to all of you!,16d ago,squeakysqueakysqueak
A-7,I showed my mum stardew quite a few years ago. It took about a month to realise that I was infact shit at the game and she has some weird mum hacks to being ungodly successful at the game.,16d ago,LilCakey81
A-7,Mums unite!,16d ago,squeakysqueakysqueak
A-7,i’m curious to see her farm!!,16d ago,chanelfurball
A-7,She sent me a few screen shots,16d ago,squeakysqueakysqueak
A-7,What’s her playtime hours?,16d ago,syndicaterx
A-7,"6,810 hours",16d ago,squeakysqueakysqueak
A-7,"I love this, Stardew Valley is truly purgatory now.",16d ago,softtiger
A-7,Oh I didn’t even think about it like that till now🤣,16d ago,DrFlatwoods
A-7,"Or the Hotel California
""You can check out any time you like but you can never leave.""",16d ago,Yotato5
A-7,"I don’t think purgatory… wasn’t the ancient Egyptian depiction of the afterlife a huge wheat field you would tend for eternity?
…Maybe purgatory",16d ago,Noduos
A-7,"If you find yourself alone, riding in the green fields with the sun on your face, do not be troubled. For you are in Elysium, and you’re already dead!",16d ago,wrscbt
A-7,She has her priorities,16d ago,Alyriaxxonly
A-7,Instantly this came to my mind 😂,16d ago,Intelligent-Creme-15
A-8,"Oh uh, I saw the mermaid lady n I thought this post was u lamenting ab not being able to marry her or sum so I was about to be like ""Saaame""",11h ago,SmeXy-midgett
A-8,HONESTLY I WOULD MARRY HER 😭😭😭,11h ago,Mobile-Caramel1892
A-8,I wiah there was a mermaid NPC we could marry!,10h ago,Deya_The_Fateless
A-8,SAAAMES😝,11h ago,SmeXy-midgett
A-8,Mermaid x Farmer next update plsssss i want to marry her tooo😭,10h ago,InternationalTell835
A-8,Harvest Moon flashbacks 😭,10h ago,Unhappy_View8413
A-8,It's a NEED✊🏾😔,10h ago,SmeXy-midgett
A-8,Bro fr 😭 CA letting us have krobus as a literal shadow roommate but making the mermaid completely untouchable is the real tragedy of this game. let me build a giant salt water tank in my living room u coward,6h ago,Ok-Bee-284
A-8,Valid point but imagine u finally get to date her n her 14-heart event is just her silently judging u while u desperately try to reach that stupid panning spot for 3 in-game hours straight 💀,5h ago,Muted-Sprinkles-6850
A-8,Is the panning spot in the room with us?,9h ago,AnEverydayPileOfCats
A-8,Pain!,9h ago,Mobile-Caramel1892
A-8,"in my experience, even afar you can pan it in the coast at some point if you try it.",9h ago,mxmaker
A-8,why is everything so smooth 😟 it looks scary!,11h ago,Pretty_Purchase3736
A-8,Clear glasses mod probably,11h ago,iDdiscovered
A-8,"not to point a finger at someone's mod choices, but man.....",10h ago,Technobrutale
A-8,"I mean, based on how panning usually goes you weren't gonna get anything worthwhile from it anyway.",10h ago,Jindo5
A-8,If you upgrade your pan it can be pretty decent sometimes,10h ago,He_Beard
A-8,Omg I didnt even know,10h ago,No_Housing_1287
A-8,I used to think this but on my latest run I’ve panned every spot I see and I’ve been getting VERY good stuff. 3 lucky rings and hundreds of iridium ores. Currently Winter Y2.,8h ago,donnapinciottii
A-8,Use a dinglehopper,11h ago,Ragna_Blade
A-8,Why is there a fairy over your head?,10h ago,saanenk
A-8,End game item you unlock through the cave of mastery in the forest.,10h ago,inuyashee
A-8,HEY! LISTEN! HEY!! LISTEN!!,10h ago,Any-Quiet7193
A-8,Your stardew looks like a painting,10h ago,moondustow
A-8,I feel like I need a high-powered telescope to find the spot in question.,8h ago,bchagan
A-9,Wow! The 3D effect on this is spectacular! It's really cool to see a pixel art version of her full body matching her portrait as well. Well done! 😊,4d ago,Wyrmspike
A-9,Comment removed by moderator,4d ago,[deleted]
A-9,Its good art,4d ago,Neither_Strategy3669
A-9,"Hey OP this is actually insane. This would be so difficult just to DRAW. And you did it out of Perler beads???
I’m like speechless",4d ago,ominaze_
A-9,Is that what these are called? Perler beads? Are those the ones you iron? I want to start doing this looks so neat!!!,4d ago,biblioteca4ants
A-9,"THIS IS ABSOLUTELY AMAZING… would haley accept this botched pink cake I recently made? :,)",4d ago,badaddio
A-9,This is beautiful! I see no reason why not as she loves pink cake. I like to imagine when you first start cooking and baking they still accept it anyways even if it’s not the best as it is their favorite gift to receive.,4d ago,Musicfromcoc
A-9,WHAt. That's so cool. Mine's just this simple.,4d ago,simplyy_cherryy
A-9,"Still took effort, I like it!",4d ago,IsabelleLight
A-9,Love it!!,4d ago,anitathephoenix
A-9,Yeaa I forgot what I was Crushing on....,4d ago,Eadigi
A-9,"Oh yeah so when I try and draw this perspective it's shit.
But when you (a talented artist) do it on an infinitly harder format and excellently nail it.
Good job. I am jealous.",4d ago,One-Strength-8265
A-9,Dang I went to go look at OPs profile and it says banned,4d ago,Bajileh
A-9,Peak,4d ago,Palu_Tiddy
A-9,Holy shit this is insane! What an amazing job!,4d ago,rigab
A-9,The shaping on that dress and the texture and the colors and - I'm overwhelmed. Wow.,4d ago,mylitteprince
A-9,A gem just dropped and the account is banned. Guess were not seeing the other Bachelorettes (T_T)/,4d ago,jvyrdn024
A-9,That's gorgeous,4d ago,Ms_Anonymous123
